Rank,SW,LW,MildDip,SevereDip,Mult,Lookback,RallyThreshold,RallyMultiplier,FinalValue,TotalReturn,CAGR,MaxDrawdown,TotalTrades
49,15,325,10.0000,18.0000,1.5000,63,10.0000,0.5000,360554.0725,200.4617,5.6549,34.4022,221
50,15,325,9.0000,18.0000,1.5000,63,10.0000,0.5000,360554.0725,200.4617,5.6549,34.4022,221
51,15,325,10.0000,18.0000,1.0000,63,10.0000,0.5000,360554.0725,200.4617,5.6549,34.4022,221
52,15,325,12.0000,18.0000,1.5000,63,10.0000,0.5000,360554.0725,200.4617,5.6549,34.4022,221
53,15,325,12.0000,18.0000,1.0000,63,10.0000,0.5000,360554.0725,200.4617,5.6549,34.4022,221
54,15,325,7.0000,18.0000,1.5000,63,10.0000,0.5000,360554.0725,200.4617,5.6549,34.4022,221
55,15,325,9.0000,18.0000,2.0000,63,10.0000,0.5000,360554.0725,200.4617,5.6549,34.4022,221
56,15,325,1.5000,18.0000,0.5000,63,10.0000,0.1000,360553.8103,200.4615,5.6549,34.4006,377
57,15,325,1.5000,18.0000,2.0000,63,10.0000,0.5000,360552.3334,200.4603,5.6548,34.4028,213
58,15,325,1.5000,18.0000,1.5000,63,10.0000,0.5000,360552.3334,200.4603,5.6548,34.4028,213
59,15,325,1.5000,18.0000,1.0000,63,10.0000,0.5000,360552.3334,200.4603,5.6548,34.4028,213
60,15,325,2.5000,18.0000,0.7500,63,10.0000,0.5000,360552.2930,200.4602,5.6548,34.4016,264
61,15,325,5.0000,18.0000,0.5000,63,10.0000,0.5000,360550.8583,200.4590,5.6548,34.4006,235
62,15,325,5.0000,18.0000,0.7500,63,10.0000,0.5000,360550.6153,200.4588,5.6548,34.4014,235
63,15,325,6.0000,18.0000,1.0000,63,10.0000,0.5000,360550.3724,200.4586,5.6548,34.4022,220
64,15,325,5.0000,18.0000,2.0000,63,10.0000,0.5000,360550.3724,200.4586,5.6548,34.4022,220
65,15,325,5.0000,18.0000,1.5000,63,10.0000,0.5000,360550.3724,200.4586,5.6548,34.4022,220
66,15,325,6.0000,18.0000,1.5000,63,10.0000,0.5000,360550.3724,200.4586,5.6548,34.4022,220
67,15,325,5.0000,18.0000,1.0000,63,10.0000,0.5000,360550.3724,200.4586,5.6548,34.4022,220
68,15,325,4.0000,18.0000,2.0000,63,10.0000,0.5000,360550.3724,200.4586,5.6548,34.4022,220
69,15,325,4.0000,18.0000,1.0000,63,10.0000,0.5000,360550.3724,200.4586,5.6548,34.4022,220
70,15,325,4.0000,18.0000,1.5000,63,10.0000,0.5000,360550.3724,200.4586,5.6548,34.4022,220
71,15,325,6.0000,18.0000,2.0000,63,10.0000,0.5000,360550.3724,200.4586,5.6548,34.4022,220
72,15,325,3.5000,18.0000,0.2500,63,10.0000,0.5000,360548.6319,200.4572,5.6548,34.4006,299
73,15,325,2.0000,18.0000,0.7500,63,10.0000,0.5000,360547.3608,200.4561,5.6548,34.4012,268
74,15,325,6.0000,18.0000,0.7500,63,10.0000,0.5000,360547.0644,200.4559,5.6548,34.4022,227
75,15,325,3.5000,18.0000,0.5000,63,30.0000,0.5000,360546.7580,200.4556,5.6547,34.4019,220
76,15,325,3.5000,18.0000,0.5000,63,0.0000,0.5000,360546.7580,200.4556,5.6547,34.4019,220
77,15,325,3.5000,18.0000,0.5000,63,20.0000,0.5000,360546.7580,200.4556,5.6547,34.4019,220
78,15,325,3.5000,18.0000,0.5000,63,30.0000,0.1000,360546.7580,200.4556,5.6547,34.4019,220
79,15,325,3.5000,18.0000,0.5000,63,0.0000,0.1000,360546.7580,200.4556,5.6547,34.4019,220
80,15,325,3.5000,18.0000,0.5000,63,20.0000,0.1000,360546.7580,200.4556,5.6547,34.4019,220
81,15,325,3.5000,18.0000,2.0000,63,10.0000,0.5000,360546.5736,200.4555,5.6547,34.4022,219
82,15,325,3.5000,18.0000,1.0000,63,10.0000,0.5000,360546.5736,200.4555,5.6547,34.4022,219
